timestamp,product_id,inventory_level,demand,competitor_price,price_sold
2024-01-01T12:00:00,galaxy-s24,68,99.02,801.87,1131.19
2024-09-28T09:00:00,dell-xps-13,58,100.0,1056.76,1421.94
2024-08-03T09:00:00,galaxy-s24,117,76.83,724.43,875.32
2024-03-03T09:00:00,dell-xps-13,100,100.0,1261.9,1530.53
2024-07-19T18:00:00,sony-wh-1000xm5,77,100.0,328.12,459.85
2024-10-25T09:00:00,sony-wh-1000xm5,80,100.0,308.47,439.98
2024-05-02T18:00:00,iphone-15-pro,84,100.0,1083.8,1394.34
2024-08-13T15:00:00,galaxy-s24,88,80.35,771.41,967.87
2024-09-04T12:00:00,dell-xps-13,37,100.0,1144.84,1556.08
2024-07-25T09:00:00,sony-wh-1000xm5,120,100.0,338.54,444.09
2024-01-29T15:00:00,galaxy-s24,145,100.0,789.55,1016.65
2024-02-28T18:00:00,galaxy-s24,90,92.29,876.93,1119.35
2024-05-23T18:00:00,logitech-mx-master-3,246,99.77,105.19,130.53
2024-02-01T09:00:00,iphone-15-pro,83,86.42,1130.9,1305.97
2024-05-28T12:00:00,galaxy-s24,162,100.0,778.31,1004.88
2024-05-03T12:00:00,iphone-15-pro,136,94.23,1115.83,1208.16
2024-04-05T18:00:00,iphone-15-pro,79,81.54,1125.17,1296.32
2024-04-07T18:00:00,iphone-15-pro,70,100.0,1130.1,1444.06
2024-06-14T12:00:00,iphone-15-pro,180,93.54,986.72,1038.2
2024-08-31T12:00:00,dell-xps-13,91,100.0,1131.24,1382.81
2024-03-15T18:00:00,sony-wh-1000xm5,134,100.0,375.71,457.24
2024-06-22T09:00:00,galaxy-s24,131,81.66,763.15,818.8
2024-10-07T18:00:00,dell-xps-13,88,32.86,1117.93,1026.7
2024-03-07T09:00:00,iphone-15-pro,62,80.05,1030.84,1311.93
2024-04-09T15:00:00,iphone-15-pro,97,100.0,1132.69,1424.06
2024-08-29T15:00:00,sony-wh-1000xm5,165,100.0,343.18,405.75
2024-07-05T15:00:00,dell-xps-13,48,86.98,1149.69,1440.92
2024-06-22T09:00:00,sony-wh-1000xm5,175,73.95,368.48,374.01
2024-09-24T09:00:00,sony-wh-1000xm5,179,100.0,312.69,387.7
2024-10-16T09:00:00,sony-wh-1000xm5,116,82.27,343.06,414.92
2024-08-31T09:00:00,iphone-15-pro,63,90.44,1038.93,1268.03
2024-09-13T18:00:00,sony-wh-1000xm5,239,97.9,331.47,340.6
2024-01-13T12:00:00,logitech-mx-master-3,197,100.0,101.91,113.02
2024-08-17T15:00:00,dell-xps-13,94,97.67,1182.57,1403.67
2024-05-12T18:00:00,sony-wh-1000xm5,96,100.0,361.74,480.66
2024-09-20T18:00:00,logitech-mx-master-3,239,100.0,95.87,118.98
2024-05-29T18:00:00,logitech-mx-master-3,338,100.0,105.74,124.02
2024-05-21T18:00:00,galaxy-s24,108,85.88,855.35,1062.78
2024-04-05T15:00:00,dell-xps-13,103,55.31,1109.26,1138.5
2024-05-20T18:00:00,sony-wh-1000xm5,207,100.0,353.6,411.33
2024-01-03T12:00:00,dell-xps-13,81,100.0,1265.56,1567.81
2024-03-31T18:00:00,sony-wh-1000xm5,50,100.0,392.9,542.32
2024-05-09T18:00:00,sony-wh-1000xm5,119,100.0,349.16,455.75
2024-06-06T09:00:00,logitech-mx-master-3,263,94.71,102.38,123.83
2024-06-08T12:00:00,sony-wh-1000xm5,137,94.89,343.04,421.05
2024-08-11T09:00:00,galaxy-s24,183,70.85,749.41,768.01
2024-09-29T09:00:00,sony-wh-1000xm5,136,100.0,341.95,423.24
2024-04-25T15:00:00,iphone-15-pro,115,100.0,1018.97,1308.0
2024-10-22T12:00:00,sony-wh-1000xm5,175,96.45,323.3,398.9
2024-08-01T12:00:00,iphone-15-pro,98,82.37,1008.88,1182.44
2024-04-30T15:00:00,logitech-mx-master-3,434,100.0,108.18,114.79
2024-10-18T09:00:00,logitech-mx-master-3,284,100.0,101.26,118.49
2024-02-07T18:00:00,galaxy-s24,78,100.0,828.92,1157.12
2024-06-02T15:00:00,iphone-15-pro,109,100.0,1083.29,1326.91
2024-01-19T18:00:00,sony-wh-1000xm5,107,100.0,382.01,466.3
2024-02-01T09:00:00,sony-wh-1000xm5,142,71.57,392.41,416.27
2024-08-01T15:00:00,sony-wh-1000xm5,116,76.47,345.08,403.96
2024-06-12T18:00:00,dell-xps-13,106,90.33,1224.55,1437.8
2024-02-14T15:00:00,logitech-mx-master-3,383,78.25,110.12,111.65
2024-09-16T09:00:00,galaxy-s24,172,100.0,743.9,906.53
2024-04-29T12:00:00,dell-xps-13,46,100.0,1190.21,1658.74
2024-10-24T12:00:00,galaxy-s24,66,70.35,761.35,928.53
